FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2014 ORDINANCE (AMOUNT $)
Grants,0H14,TATTOO AND BODY ART PIERCING INSPECTION,41,DEPARTMENT OF PUBLIC HEALTH,2998,TATTOO AND BODY ART PIERCING,229,TRAN/EXP ALLOWANCE,$1032.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,5,SALARIES AND WAGES - ON PAYROLL,$66231.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,20,OVERTIME,$5000.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,44,FRINGE BENEFITS,$24675.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,140,PROF & TECHNICAL SERVICES,$113610.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,157,RENTAL EQUIPMENT AND SERVICES,$45000.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,162,REPAIR/MAINT EQUIPMENT,$28766.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,168,EDUCATION DEVELOPMENT,$4000.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,181,MOBILE COMM SERVICES,$3768.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,229,TRAN/EXP ALLOWANCE,$2750.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,270,LOCAL TRANSPORTATION,$5000.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,345,APPARATUS AND INSTRUMENTS,$127700.00
Grants,0H15,CHILDHOOD LEAD POISONING PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2804,CHILDHOOD LEAD POISONING PREV,350,STATIONERY AND OFFICE SUPPL,$4500.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,5,SALARIES AND WAGES - ON PAYROLL,$767653.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,15,SCHEDULE SALARY ADJ,$1704.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,44,FRINGE BENEFITS,$292297.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,140,PROF & TECHNICAL SERVICES,$273906.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,245,REIMBURSEMENT TRAVELERS,$7559.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,340,MATERIAL AND SUPPLIES,$2364.00
Grants,0H16,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,801,INDIRECT COSTS,$171517.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,5,SALARIES AND WAGES - ON PAYROLL,$476516.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,15,SCHEDULE SALARY ADJ,$5238.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,44,FRINGE BENEFITS,$184671.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,91,UNIFORM ALLOWANCE,$4000.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,130,POSTAGE,$50.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,140,PROF & TECHNICAL SERVICES,$74454.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,150,PUBLICATN & REPRODT-OUT,$1340.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,160,REPAIR/MAINT PROPERTY,$500.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,166,DUES  SUBSC & MEM,$1776.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,169,TECHNICAL MEETING COSTS,$100.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,186,PAGERS,$100.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,190,TELEPHONE-CENTREX,$100.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,245,REIMBURSEMENT TRAVELERS,$7000.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,270,LOCAL TRANSPORTATION,$1000.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,340,MATERIAL AND SUPPLIES,$7000.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,348,BOOKS AND RELATED MTL,$700.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,350,STATIONERY AND OFFICE SUPPL,$2160.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,9438,REIMBURSEMENT - 2FM,$14000.00
Grants,0H18,HEALTHY START INITIATIVE / PERINATAL HLT,41,DEPARTMENT OF PUBLIC HEALTH,2816,HEALTHY START INITIATIVE,9651,REIMREIMB CORP,$108295.00
Grants,0H19,HIV BEHAVIORAL SURVEILLANCE MSM2,41,DEPARTMENT OF PUBLIC HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,5,SALARIES AND WAGES - ON PAYROLL,$220019.00
Grants,0H19,HIV BEHAVIORAL SURVEILLANCE MSM2,41,DEPARTMENT OF PUBLIC HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,44,FRINGE BENEFITS,$81972.00
Grants,0H19,HIV BEHAVIORAL SURVEILLANCE MSM2,41,DEPARTMENT OF PUBLIC HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,140,PROF & TECHNICAL SERVICES,$90000.00
Grants,0H19,HIV BEHAVIORAL SURVEILLANCE MSM2,41,DEPARTMENT OF PUBLIC HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,350,STATIONERY AND OFFICE SUPPL,$8451.00
Grants,0H19,HIV BEHAVIORAL SURVEILLANCE MSM2,41,DEPARTMENT OF PUBLIC HEALTH,2978,HIV BEHAVIORAL SURVEILLANCE,801,INDIRECT COSTS,$50558.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,5,SALARIES AND WAGES - ON PAYROLL,$3947690.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,15,SCHEDULE SALARY ADJ,$30875.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,44,FRINGE BENEFITS,$1526548.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,130,POSTAGE,$436.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,140,PROF & TECHNICAL SERVICES,$3392498.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,169,TECHNICAL MEETING COSTS,$14387.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,190,TELEPHONE-CENTREX,$7500.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,245,REIMBURSEMENT TRAVELERS,$11140.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,270,LOCAL TRANSPORTATION,$4250.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,340,MATERIAL AND SUPPLIES,$5000.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,342,DRUGS MED AND CHEM MATL S,$344430.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,9438,REIMBURSEMENT - 2FM,$10182.00
Grants,0H20,HIV / AIDS PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2812,AIDS PREVENTION,9651,REIMREIMB CORP,$697064.00
Grants,0H21,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,5,SALARIES AND WAGES - ON PAYROLL,$307813.00
Grants,0H21,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,44,FRINGE BENEFITS,$114679.00
Grants,0H21,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,140,PROF & TECHNICAL SERVICES,$15511.00
Grants,0H21,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,9651,REIMREIMB CORP,$12997.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,5,SALARIES AND WAGES - ON PAYROLL,$307675.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,15,SCHEDULE SALARY ADJ,$798.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,44,FRINGE BENEFITS,$115845.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,140,PROF & TECHNICAL SERVICES,$47053.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,245,REIMBURSEMENT TRAVELERS,$1000.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,270,LOCAL TRANSPORTATION,$447.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,342,DRUGS MED AND CHEM MATL S,$2182.00
Grants,0H22,RYAN WHITE HIV CARE ACT PART C,41,DEPARTMENT OF PUBLIC HEALTH,2728,Ryan White HIV Care Act C,9651,REIMREIMB CORP,$3000.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,5,SALARIES AND WAGES - ON PAYROLL,$2340250.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,15,SCHEDULE SALARY ADJ,$12393.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,44,FRINGE BENEFITS,$877188.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,91,UNIFORM ALLOWANCE,$2400.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,125,OFF AND BUILDING SERV,$2500.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,130,POSTAGE,$8700.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,140,PROF & TECHNICAL SERVICES,$753573.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,150,PUBLICATN & REPRODT-OUT,$53495.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,152,ADVERTISING,$13500.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,157,RENTAL EQUIPMENT AND SERVICES,$18000.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,162,REPAIR/MAINT EQUIPMENT,$10000.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,166,DUES  SUBSC & MEM,$5350.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,168,EDUCATION DEVELOPMENT,$5000.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,169,TECHNICAL MEETING COSTS,$3000.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,181,MOBILE COMM SERVICES,$7900.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,190,TELEPHONE-CENTREX,$9300.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,229,TRAN/EXP ALLOWANCE,$13803.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,245,REIMBURSEMENT TRAVELERS,$11928.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,340,MATERIAL AND SUPPLIES,$10000.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,342,DRUGS MED AND CHEM MATL S,$2100.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,345,APPARATUS AND INSTRUMENTS,$6200.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,348,BOOKS AND RELATED MTL,$39500.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,350,STATIONERY AND OFFICE SUPPL,$6700.00
Grants,0H23,IMMUNIZATION AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,801,INDIRECT COSTS,$535220.00
Grants,0H24,LEAD BASED PAINT HAZARD CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2884,LEAD-BASED PAINT HAZARD,140,PROF & TECHNICAL SERVICES,$376000.00
Grants,0H24,LEAD BASED PAINT HAZARD CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2884,LEAD-BASED PAINT HAZARD,9651,REIMREIMB CORP,$24000.00
Grants,0H25,GENETICS EDUCATION / FOLLOW-UP SERVICES,41,DEPARTMENT OF PUBLIC HEALTH,2729,Genetics Education,5,SALARIES AND WAGES - ON PAYROLL,$100630.00
Grants,0H25,GENETICS EDUCATION / FOLLOW-UP SERVICES,41,DEPARTMENT OF PUBLIC HEALTH,2729,Genetics Education,44,FRINGE BENEFITS,$37491.00
Grants,0H25,GENETICS EDUCATION / FOLLOW-UP SERVICES,41,DEPARTMENT OF PUBLIC HEALTH,2729,Genetics Education,138,PROF SERV-IT MAINT,$879.00
Grants,0H26,RESOURCE CONSERVATION AND RECOVERY ACT D,41,DEPARTMENT OF PUBLIC HEALTH,2721,RESOURCE CONSERVATION,5,SALARIES AND WAGES - ON PAYROLL,$87955.00
Grants,0H26,RESOURCE CONSERVATION AND RECOVERY ACT D,41,DEPARTMENT OF PUBLIC HEALTH,2721,RESOURCE CONSERVATION,44,FRINGE BENEFITS,$36228.00
Grants,0H26,RESOURCE CONSERVATION AND RECOVERY ACT D,41,DEPARTMENT OF PUBLIC HEALTH,2721,RESOURCE CONSERVATION,140,PROF & TECHNICAL SERVICES,$25817.00
Grants,0H27,MOSQUITO VECTOR PREVENTION PROGRAM,41,DEPARTMENT OF PUBLIC HEALTH,2960,VECTOR CONTROL TIRE FUND,5,SALARIES AND WAGES - ON PAYROLL,$76894.00
Grants,0H27,MOSQUITO VECTOR PREVENTION PROGRAM,41,DEPARTMENT OF PUBLIC HEALTH,2960,VECTOR CONTROL TIRE FUND,44,FRINGE BENEFITS,$28648.00
Grants,0H27,MOSQUITO VECTOR PREVENTION PROGRAM,41,DEPARTMENT OF PUBLIC HEALTH,2960,VECTOR CONTROL TIRE FUND,140,PROF & TECHNICAL SERVICES,$481733.00
Grants,0H27,MOSQUITO VECTOR PREVENTION PROGRAM,41,DEPARTMENT OF PUBLIC HEALTH,2960,VECTOR CONTROL TIRE FUND,245,REIMBURSEMENT TRAVELERS,$3946.00
Grants,0H27,MOSQUITO VECTOR PREVENTION PROGRAM,41,DEPARTMENT OF PUBLIC HEALTH,2960,VECTOR CONTROL TIRE FUND,342,DRUGS MED AND CHEM MATL S,$5000.00
Grants,0H27,MOSQUITO VECTOR PREVENTION PROGRAM,41,DEPARTMENT OF PUBLIC HEALTH,2960,VECTOR CONTROL TIRE FUND,801,INDIRECT COSTS,$78779.00
Grants,0H28,CARE VAN BLUE CROSS,41,DEPARTMENT OF PUBLIC HEALTH,2700,CARE VAN BLUE CROSS,140,PROF & TECHNICAL SERVICES,$302315.00
Grants,0H28,CARE VAN BLUE CROSS,41,DEPARTMENT OF PUBLIC HEALTH,2700,CARE VAN BLUE CROSS,229,TRAN/EXP ALLOWANCE,$666.00
Grants,0H28,CARE VAN BLUE CROSS,41,DEPARTMENT OF PUBLIC HEALTH,2700,CARE VAN BLUE CROSS,350,STATIONERY AND OFFICE SUPPL,$14019.00
Grants,0H29,DATING MATTERS INITIATIVE,41,DEPARTMENT OF PUBLIC HEALTH,2713,DATING MATTERS,5,SALARIES AND WAGES - ON PAYROLL,$115579.00
Grants,0H29,DATING MATTERS INITIATIVE,41,DEPARTMENT OF PUBLIC HEALTH,2713,DATING MATTERS,15,SCHEDULE SALARY ADJ,$1967.00
Grants,0H29,DATING MATTERS INITIATIVE,41,DEPARTMENT OF PUBLIC HEALTH,2713,DATING MATTERS,44,FRINGE BENEFITS,$43060.00
Grants,0H29,DATING MATTERS INITIATIVE,41,DEPARTMENT OF PUBLIC HEALTH,2713,DATING MATTERS,140,PROF & TECHNICAL SERVICES,$151978.00
Grants,0H29,DATING MATTERS INITIATIVE,41,DEPARTMENT OF PUBLIC HEALTH,2713,DATING MATTERS,801,INDIRECT COSTS,$37416.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,5,SALARIES AND WAGES - ON PAYROLL,$1554359.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,15,SCHEDULE SALARY ADJ,$13173.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,20,OVERTIME,$18684.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,44,FRINGE BENEFITS,$582621.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,91,UNIFORM ALLOWANCE,$500.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,140,PROF & TECHNICAL SERVICES,$257900.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,152,ADVERTISING,$10000.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,157,RENTAL EQUIPMENT AND SERVICES,$19008.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,181,MOBILE COMM SERVICES,$11696.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,229,TRAN/EXP ALLOWANCE,$10656.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,245,REIMBURSEMENT TRAVELERS,$6758.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,270,LOCAL TRANSPORTATION,$10425.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,340,MATERIAL AND SUPPLIES,$22500.00
Grants,0H30,LOCAL HEALTH PROTECTION,41,DEPARTMENT OF PUBLIC HEALTH,2730,Local Health Protection,350,STATIONERY AND OFFICE SUPPL,$22720.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,5,SALARIES AND WAGES - ON PAYROLL,$832022.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,15,SCHEDULE SALARY ADJ,$4496.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,44,FRINGE BENEFITS,$316388.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,91,UNIFORM ALLOWANCE,$600.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,130,POSTAGE,$200.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,140,PROF & TECHNICAL SERVICES,$71362.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,181,MOBILE COMM SERVICES,$10112.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,229,TRAN/EXP ALLOWANCE,$21120.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,340,MATERIAL AND SUPPLIES,$1200.00
Grants,0H31,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,350,STATIONERY AND OFFICE SUPPL,$2500.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,5,SALARIES AND WAGES - ON PAYROLL,$213212.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,15,SCHEDULE SALARY ADJ,$2258.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,44,FRINGE BENEFITS,$79434.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,140,PROF & TECHNICAL SERVICES,$293790.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,229,TRAN/EXP ALLOWANCE,$4000.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,245,REIMBURSEMENT TRAVELERS,$1500.00
Grants,0H32,BUILDING EPIDEMIOLOGY AND HEALTH IT,41,DEPARTMENT OF PUBLIC HEALTH,2710,BUILDING EPIDEMIOLOGY AND HLTH,350,STATIONERY AND OFFICE SUPPL,$1673.00
