FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2015 ORDINANCE (AMOUNT $)
GRANTS,0H65,SEXUALLY TRANSMITTED DISEASE PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2814,SEXUALLY TRANSMITTED DISEASE C,270,LOCAL TRANSPORTATION,$2038.00
GRANTS,0H65,SEXUALLY TRANSMITTED DISEASE PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2814,SEXUALLY TRANSMITTED DISEASE C,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,$148733.00
GRANTS,0H65,SEXUALLY TRANSMITTED DISEASE PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2814,SEXUALLY TRANSMITTED DISEASE C,350,STATIONERY AND OFFICE SUPPLIES,$53867.00
GRANTS,0H65,SEXUALLY TRANSMITTED DISEASE PREVENTION,41,DEPARTMENT OF PUBLIC HEALTH,2814,SEXUALLY TRANSMITTED DISEASE C,9651,REIMB - INDIRECT COSTS,$187198.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,5,SALARIES AND WAGES - ON PAYROLL,$2400854.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,11,CONTRACT WAGE - SALARY,$7613.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,15,SCHEDULE SALARY ADJUSTMENTS,$9407.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,44,FRINGE BENEFITS,$928358.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,91,UNIFORM ALLOWANCE,$2400.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,125,OFFICE AND BUILDING SERVICES,$2500.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,130,POSTAGE,$8700.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,140,PROFESSIONAL AND TECHNICAL SERVICES,$492092.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,150,PUBLICATN & REPRODT-OUT,$53495.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,152,ADVERTISING,$13500.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,157,RENTAL EQUIPMENT AND SERVICES,$18000.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,162,REPAIR/MAINT EQUIPMENT,$10000.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,166,DUES  SUBSC & MEM,$5350.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,168,EDUCATION DEVELOPMENT,$5000.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,169,TECHNICAL MEETING COSTS,$3000.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,181,MOBILE COMMUNICATION SERVICES,$7900.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,190,TELEPHONE - NON-CENTREX BILLINGS,$9300.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$13803.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,245,REIMBURSEMENT TO TRAVELERS,$11928.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,340,MATERIAL AND SUPPLIES,$96080.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,$2100.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,345,APPARATUS AND INSTRUMENTS,$6200.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,348,BOOKS AND RELATED MATERIAL,$39500.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,350,STATIONERY AND OFFICE SUPPLIES,$6700.00
GRANTS,0H67,IMMUNIZATIONS AND VACCINES FOR CHILDREN,41,DEPARTMENT OF PUBLIC HEALTH,2820,IMMUNIZATION,801,INDIRECT COSTS,$535220.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,5,SALARIES AND WAGES - ON PAYROLL,$646801.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,11,CONTRACT WAGE - SALARY,$1969.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,15,SCHEDULE SALARY ADJUSTMENTS,$3410.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,44,FRINGE BENEFITS,$253777.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,91,UNIFORM ALLOWANCE,$600.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,130,POSTAGE,$200.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,140,PROFESSIONAL AND TECHNICAL SERVICES,$230047.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,181,MOBILE COMMUNICATION SERVICES,$10112.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$21120.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,340,MATERIAL AND SUPPLIES,$6464.00
GRANTS,0H68,TUBERCULOSIS CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2824,TUBERCULOSIS CONTROL,350,STATIONERY AND OFFICE SUPPLIES,$2500.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,5,SALARIES AND WAGES - ON PAYROLL,$806958.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,11,CONTRACT WAGE - SALARY,$3900.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,44,FRINGE BENEFITS,$311491.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,140,PROFESSIONAL AND TECHNICAL SERVICES,$320681.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,245,REIMBURSEMENT TO TRAVELERS,$7559.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,340,MATERIAL AND SUPPLIES,$2364.00
GRANTS,0H69,HIV / AIDS SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2733,HIV / AIDS Surveillance,801,INDIRECT COSTS,$12047.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,6,DOIT,2829,Bioterrorism Response Planning,5,SALARIES AND WAGES - ON PAYROLL,$366055.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,6,DOIT,2829,Bioterrorism Response Planning,11,CONTRACT WAGE - SALARY,$1342.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,6,DOIT,2829,Bioterrorism Response Planning,44,FRINGE BENEFITS,$138976.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,5,SALARIES AND WAGES - ON PAYROLL,$3590093.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,11,CONTRACT WAGE - SALARY,$8308.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,15,SCHEDULE SALARY ADJUSTMENTS,$18890.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,44,FRINGE BENEFITS,$1398129.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,140,PROFESSIONAL AND TECHNICAL SERVICES,$1653920.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$800.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,245,REIMBURSEMENT TO TRAVELERS,$30606.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,270,LOCAL TRANSPORTATION,$12508.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,340,MATERIAL AND SUPPLIES,$1239980.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,348,BOOKS AND RELATED MATERIAL,$24118.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,350,STATIONERY AND OFFICE SUPPLIES,$25833.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,421,MACHINERY AND EQUIPMENT,$10000.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,426,OUTDOOR EQUIPMENT,$251160.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,999,CULTURAL PROGRAMMING GRANTS,$3332.00
GRANTS,0H70,BIOTERRORISM PREPAREDNESS RESPONSE PLAN,41,DEPARTMENT OF PUBLIC HEALTH,2829,BIOTERRORISM RESPONSE,9651,REIMB - INDIRECT COSTS,$1077950.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,5,SALARIES AND WAGES - ON PAYROLL,$76749.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,44,FRINGE BENEFITS,$29542.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,130,POSTAGE,$1450.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,135,DELEGATE AGENCIES,$90066.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,140,PROFESSIONAL AND TECHNICAL SERVICES,$42387.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,150,PUBLICATN & REPRODT-OUT,$1743.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,169,TECHNICAL MEETING COSTS,$500.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,181,MOBILE COMMUNICATION SERVICES,$450.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,190,TELEPHONE - NON-CENTREX BILLINGS,$1000.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,270,LOCAL TRANSPORTATION,$813.00
GRANTS,0H71,HEALTHY FAMILIES ILLINOIS,41,DEPARTMENT OF PUBLIC HEALTH,2849,HEALTHY FAMILIES ILLINOIS,350,STATIONERY AND OFFICE SUPPLIES,$2300.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,5,SALARIES AND WAGES - ON PAYROLL,$469090.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,11,CONTRACT WAGE - SALARY,$1381.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,15,SCHEDULE SALARY ADJUSTMENTS,$3782.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,44,FRINGE BENEFITS,$181789.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,140,PROFESSIONAL AND TECHNICAL SERVICES,$527793.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,150,PUBLICATN & REPRODT-OUT,$25000.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,190,TELEPHONE - NON-CENTREX BILLINGS,$11604.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$15516.00
GRANTS,0H72,TOBACCO FREE COMMUNITIES,41,DEPARTMENT OF PUBLIC HEALTH,2868,TOBACCO FREE COMMUNITIES,350,STATIONERY AND OFFICE SUPPLIES,$23045.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,5,SALARIES AND WAGES - ON PAYROLL,$20000.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,44,FRINGE BENEFITS,$7302.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,150,PUBLICATN & REPRODT-OUT,$20678.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,169,TECHNICAL MEETING COSTS,$1000.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,245,REIMBURSEMENT TO TRAVELERS,$1500.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,270,LOCAL TRANSPORTATION,$1000.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,342,DRUGS  MEDICINE AND CHEMICAL MATERIALS,$3000.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,345,APPARATUS AND INSTRUMENTS,$4020.00
GRANTS,0H73,DENTAL SEALANT,41,DEPARTMENT OF PUBLIC HEALTH,2871,DENTAL SEALANT GRANT,350,STATIONERY AND OFFICE SUPPLIES,$1500.00
GRANTS,0H74,TANNING FACILITIES INSPECTIONS,41,DEPARTMENT OF PUBLIC HEALTH,2878,TANNING FACILITIES INSPECTIONS,140,PROFESSIONAL AND TECHNICAL SERVICES,$9289.00
GRANTS,0H74,TANNING FACILITIES INSPECTIONS,41,DEPARTMENT OF PUBLIC HEALTH,2878,TANNING FACILITIES INSPECTIONS,340,MATERIAL AND SUPPLIES,$1711.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,5,SALARIES AND WAGES - ON PAYROLL,$269071.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,11,CONTRACT WAGE - SALARY,$479.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,44,FRINGE BENEFITS,$105184.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,140,PROFESSIONAL AND TECHNICAL SERVICES,$415987.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,245,REIMBURSEMENT TO TRAVELERS,$19664.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,270,LOCAL TRANSPORTATION,$6060.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,350,STATIONERY AND OFFICE SUPPLIES,$9915.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,999,CULTURAL PROGRAMMING GRANTS,$1138377.00
GRANTS,0H75,BIOTERRORISM HOSPITAL PREPAREDNESS PGM,41,DEPARTMENT OF PUBLIC HEALTH,2883,BIOTERRORISM HOSPITAL PREP,9651,REIMB - INDIRECT COSTS,$731263.00
GRANTS,0H76,LEAD BASED PAINT HAZARD CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2884,LEAD-BASED PAINT HAZARD,140,PROFESSIONAL AND TECHNICAL SERVICES,$376000.00
GRANTS,0H76,LEAD BASED PAINT HAZARD CONTROL,41,DEPARTMENT OF PUBLIC HEALTH,2884,LEAD-BASED PAINT HAZARD,9651,REIMB - INDIRECT COSTS,$24000.00
GRANTS,0H77,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,5,SALARIES AND WAGES - ON PAYROLL,$126700.00
GRANTS,0H77,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,11,CONTRACT WAGE - SALARY,$667.00
GRANTS,0H77,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,15,SCHEDULE SALARY ADJUSTMENTS,$3669.00
GRANTS,0H77,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,44,FRINGE BENEFITS,$48693.00
GRANTS,0H77,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,140,PROFESSIONAL AND TECHNICAL SERVICES,$264274.00
GRANTS,0H77,MORBIDITY AND RISK BEHAVIOR SURVEILLANCE,41,DEPARTMENT OF PUBLIC HEALTH,2887,MORBIDITY AND RISK BEHAVIOR,9651,REIMB - INDIRECT COSTS,$12997.00
GRANTS,0H78,CHICAGO FAMILY CASE MANAGEMENT,41,DEPARTMENT OF PUBLIC HEALTH,2894,HEALTHY MOMS/HEALTHY KIDS,5,SALARIES AND WAGES - ON PAYROLL,$1027259.00
GRANTS,0H78,CHICAGO FAMILY CASE MANAGEMENT,41,DEPARTMENT OF PUBLIC HEALTH,2894,HEALTHY MOMS/HEALTHY KIDS,11,CONTRACT WAGE - SALARY,$2546.00
GRANTS,0H78,CHICAGO FAMILY CASE MANAGEMENT,41,DEPARTMENT OF PUBLIC HEALTH,2894,HEALTHY MOMS/HEALTHY KIDS,15,SCHEDULE SALARY ADJUSTMENTS,$8412.00
GRANTS,0H78,CHICAGO FAMILY CASE MANAGEMENT,41,DEPARTMENT OF PUBLIC HEALTH,2894,HEALTHY MOMS/HEALTHY KIDS,44,FRINGE BENEFITS,$400783.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,5,SALARIES AND WAGES - ON PAYROLL,$3280402.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,11,CONTRACT WAGE - SALARY,$3273.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,15,SCHEDULE SALARY ADJUSTMENTS,$17033.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,44,FRINGE BENEFITS,$1260025.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,91,UNIFORM ALLOWANCE,$23800.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,130,POSTAGE,$1170.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,140,PROFESSIONAL AND TECHNICAL SERVICES,$51438.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,150,PUBLICATN & REPRODT-OUT,$25683.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,160,REPAIR/MAINT PROPERTY,$1500.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,166,DUES  SUBSC & MEM,$2300.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,169,TECHNICAL MEETING COSTS,$6500.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,186,PAGERS,$2248.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,190,TELEPHONE - NON-CENTREX BILLINGS,$30000.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,229,TRANSPORTATION AND EXPENSE ALLOWANCE,$5750.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,245,REIMBURSEMENT TO TRAVELERS,$6256.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,270,LOCAL TRANSPORTATION,$10046.00
GRANTS,0H79,MATERNAL AND CHILD HEALTH BLOCK GRANT,41,DEPARTMENT OF PUBLIC HEALTH,2910,MATERNAL AND CHILD HEALTH,340,MATERIAL AND SUPPLIES,$11390.00
